ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	COGIDS	ALIGNMENT
695	TR	comer	ko-kwa.	ko-kwa.	k o + kʷ a		113	17	898 902	k - o - - - - + kʷ a
696	Proto	comer	*ko'a	*ko'a	k o ʔ a		113bis	18	898	k - o ʔ - a -
697	TEP	comer	kó'a-i	kó'a-i	k ó/o ʔ a + i		113bis	18	898 901	k - ó/o ʔ - a - + i
698	O	comer	hi-koa	hi-koa	h i + k o a		113bis	18	903 898	h i + k - o - - a -
699	Y	comer	kó'a	kó'a	k ó/o ʔ a		113bis	18	898	k - ó/o ʔ - a -
700	Vb	comer	kóko-	kóko-	k ó/o k o		113bis	18	898	k - ó/o - k o -
701	Va	comer	ko'a-	ko'a-	k o ʔ a		113bis	18	898	k - o ʔ - a -
702	Va	comer	ko'kó-	ko'kó-	k o ʔ k ó/o		113bis	18	898	k - o ʔ k ó/o -
703	TA	comer	ko'á	ko'á	k o á/a		113bis	18	898	k - o - - á/a -
704	TR	comer	kuá	kuá	k u/w á/a		113bis	18	898	k u/w á/a - - - -
705	TR	comer	ko-koa-.	ko-koa-.	k o + k o a +		113bis	18	904 898	k o + k - o - - a +
706	Proto	concha	*koyo	*koyo	k o y/j o		100	3	924	k o - - y/j o
707	O	concha	kodosi	kodosi	k o d o s i		100	3	924	k o d o s i
708	En	concha	kodó	kodó	k o d ó/o		100	3	924	k o d ó/o - -
709	Y	concha	koóyo	koóyo	k o ó/o y/j o		100	3	924	k o - ó/o y/j o
710	Vb	concha	ko'oyó	ko'oyó	k o o y/j ó/o		100	3	924	k o - o y/j ó/o
711	Proto	conejo	*tapu	*tapu	t a p u		275	203	930	t a - - p u
712	P	conejo	toobi	toobi	t oː b i		275	203	930	t oː - - b i
713	PI	conejo	tobi	tobi	t o b i		275	203	930	t o - - b i
714	O	conejo	tawu	tawu	t a w u		275	203	930	t a - - w u
715	En	conejo	tábu	tábu	t á/a b u		275	203	930	t á/a - - b u
716	Y	conejo	taábu.	taábu.	t a á/a b u		275	203	930	t a - á/a b u
717	MA	conejo	taábu.	taábu.	t a á/a b u		275	203	930	t a - á/a b u
718	Proto	conejo	*towi	*towi	t o w i		318	251	930	t o - - w i
719	Vb	conejo	to'owí	to'owí	t o ʔ o w í/i		318	251	930	t o ʔ o w í/i
720	Va	conejo	toí	toí	t o í/i		318	251	930	t o - - - í/i
721	TA	conejo	rowí.	rowí.	r o w í/i		318	251	930	r o - - w í/i
722	Proto	copete	*kumisa	*kumisa	k u m i s a		105	8	942	k u m i s a
723	O	copete	kumi-to	kumi-to	k u m i + t o		105	8	942 944	k u m - - i + t o
724	En	copete	kumísa	kumísa	k u m í/i s a		105	8	942	k u m í/i s a
725	Y	copete	kúmsa-kam	kúmsa-kam	k ú/u m s a + k a m		105	8	942 945	k ú/u m - s a + k a m
726	MA	copete	kúmsa-m	kúmsa-m	k ú/u m s a + m		105	8	942 943	k ú/u m - s a + m
727	TA	copete	kumísa.	kumísa.	k u m í/i s a		105	8	942	k u m í/i s a
728	Proto	corazón	*sura	*sura	s u r a		264	190	952	s u - r a
729	TEP	corazón	súra-	súra-	s ú/u r a		264	190	952	s ú/u - r a
730	En	corazón	súra-	súra-	s ú/u r a		264	190	952	s ú/u - r a
731	Y	corazón	suúla	suúla	s u ú/u l a		264	190	952	s u ú/u l a
732	MA	corazón	suúla	suúla	s u ú/u l a		264	190	952	s u ú/u l a
733	Vb	corazón	sura-	sura-	s u r a		264	190	952	s u - r a
734	Va	corazón	sulá	sulá	s u l á/a		264	190	952	s u - l á/a
735	TA	corazón	surá.	surá.	s u r á/a		264	190	952	s u - r á/a
736	Proto	cortar	*sika	*sika	s i k a		238	161	961	s i k a
737	Proto	cortar	sik-i	sik-i	s i k + i		238	161	961 963	s i k - + i
738	TEP	cortar	hikí-ti	hikí-ti	h i k í/i + t i		238	161	961 962	h i k í/i + t i
739	O	cortar	sikka	sikka	s i kk/kː a		238	161	961	s i kk/kː a
740	En	cortar	síka-	síka-	s í/i k a		238	161	961	s í/i k a
741	MA	cortar	síkka	síkka	s í/i kk/kː a		238	161	961	s í/i kk/kː a
742	Va	cortar	sika-	sika-	s i k a		238	161	961	s i k a
743	Va	cortar	siki-	siki-	s i k i		238	161	961	s i k i
744	TA	cortar	seká	seká	s e k á/a		238	161	961	s e k á/a
745	TA	cortar	siki-	siki-	s i k i		238	161	961	s i k i
746	TR	cortar	sika-tú	sika-tú	s i k a + t ú/u		238	161	961 962	s i k a + t ú/u
747	Proto	cortarse	*tɨpu	*tɨpu	t ɨ p u		297	227	976	t ɨ - p u
748	PI	cortarse	tupu	tupu	t u p u		297	227	976	t u - p u
749	O	cortarse	teppu	teppu	t e pp/pː u		297	227	976	t e - pp/pː u
750	En	cortarse	tepú-na-	tepú-na-	t e p ú/u + n a		297	227	976 977	t e - p ú/u + n a
751	Y	cortarse	tépu-am	tépu-am	t é/e p u + a m		297	227	976 978	t é/e - p u + a m
752	MA	cortarse	tépu-am	tépu-am	t é/e p u + a m		297	227	976 978	t é/e - p u + a m
753	Vb	cortarse	tehpu-ná-	tehpu-ná-	t e h p u + n á/a		297	227	976 977	t e h p u + n á/a
754	Va	cortarse	tehpú-na-	tehpú-na-	t e h p ú/u + n a		297	227	976 977	t e h p ú/u + n a
755	TA	cortarse	repú-	repú-	r e p ú/u		297	227	976	r e - p ú/u
756	TA	cortarse	ripú-	ripú-	r i p ú/u		297	227	976	r i - p ú/u
757	TR	cortarse	tepu-rát	tepu-rát	t e p u + r á/a t		297	227	976 979	t e - p u + r á/a t
758	Proto	coyote	*wo'i	*wo'i	w o ʔ i		346	284	994	w o ʔ i
759	O	coyote	gori	gori	g o r i		346	284	994	g o r i
760	En	coyote	vói	vói	v ó/o i		346	284	994	v ó/o - i
761	Y	coyote	wó'i	wó'i	w ó/o ʔ i		346	284	994	w ó/o ʔ i
762	MA	coyote	gwó'i	gwó'i	gʷ ó/o ʔ i		346	284	994	gʷ ó/o ʔ i
763	Vb	coyote	go'í	go'í	g o ʔ í/i		346	284	994	g o ʔ í/i
764	Va	coyote	wo'í	wo'í	w o ʔ í/i		346	284	994	w o ʔ í/i
765	TR	coyote	goi	goi	g oi		346	284	994	g oi - -
766	TR	coyote	woi.	woi.	w oi		346	284	994	w oi - -
767	Proto	crecer en edad	*yo	*yo	y/j o		358	298	1004	y/j o - -
768	Y	crecer en edad	yó'o	yó'o	y/j ó/o o		358	298	1004	y/j ó/o - o
769	MA	crecer en edad	yó'o-tu	yó'o-tu	y/j ó/o ʔ o + t u		358	298	1004 1005	y/j ó/o ʔ o + t u
770	TA	crecer en edad	o-cé.	o-cé.	o + c é/e		358	298	1006 1005	o + c é/e
771	Proto	creer	*pici	*pici	p i c i		195	111	1011	p i c - - i
772	En	creer	vícgwa	vícgwa	v í/i c gʷ a		195	111	1011	v í/i c - gʷ a
773	Va	creer	piciwá	piciwá	p i c i w á/a		195	111	1011	p i c i w á/a
774	TA	creer	bicí.	bicí.	b i c í/i		195	111	1011	b i c - - í/i
775	Proto	crudo	*yo'i	*yo'i	y/j o ʔ i		360	302	1016	y/j o ʔ i
776	TEP	crudo	do'í-ga	do'í-ga	d o í/i + g a		360	302	1016 1017	d o - í/i + g a
777	O	crudo	doi	doi	d oi		360	302	1016	d oi - -
778	En	crudo	dohí	dohí	d o h í/i		360	302	1016	d o h í/i
779	Va	crudo	yo'í	yo'í	y/j o ʔ í/i		360	302	1016	y/j o ʔ í/i
780	TA	crudo	o'í.	o'í.	o í/i		360	302	1016	- o - í/i
781	Proto	cría de venado	*marici	*marici	m a r i c i		138	46	1024	m a r i c i
782	O	cría de venado	marici	marici	m a r i c i		138	46	1024	m a r i c i
783	TA	cría de venado	maríci.	maríci.	m a r í/i c i		138	46	1024	m a r í/i c i
784	Proto	cuatro	*nao	*nao	n a o		162	73	1028	n a - - - o -
785	Proto	cuatro	nariki	nariki	n a r i k i		162	73	1028	n a r i k i -
786	O	cuatro	nago	nago	n a g o		162	73	1028	n a - - g o -
787	En	cuatro	náwoi	náwoi	n á/a w oi		162	73	1028	n á/a - - w oi -
788	Y	cuatro	naíki	naíki	n a í/i k i		162	73	1028	n a - í/i k i -
789	MA	cuatro	naíki	naíki	n a í/i k i		162	73	1028	n a - í/i k i -
790	Vb	cuatro	na'agó	na'agó	n a ʔ a g ó/o		162	73	1028	n a ʔ a g ó/o -
791	Va	cuatro	naó	naó	n a ó/o		162	73	1028	n a - - - ó/o -
792	TA	cuatro	naó	naó	n a ó/o		162	73	1028	n a - - - ó/o -
793	TR	cuatro	narikír.	narikír.	n a r i k í/i r		162	73	1028	n a r i k í/i r
794	Proto	cuchillo	*pika	*pika	p i k a		196	112	1039	- p i k a -
795	O	cuchillo	vi-t	vi-t	v i + t		196	112	1039 1040	- v i - - - + t -
796	En	cuchillo	víka-	víka-	v í/i k a		196	112	1039	- v í/i k a -
797	Va	cuchillo	te-hpiká	te-hpiká	t e + h p i k á/a		196	112	1040 1039	t e + h p i k á/a -
798	TA	cuchillo	ri-pigá .	ri-pigá_.	r i + p i g á/a +		196	112	1041 1039	r i + - p i g á/a +
799	Proto	cuello	*kuta	*kuta	k u t a		111	15	1048	k u - t - - - - a
800	O	cuello	kuta	kuta	k u t a		111	15	1048	k u - t - - - - a
801	En	cuello	kúta-	kúta-	k ú/u t a		111	15	1048	k ú/u - t - - - - a
802	Y	cuello	kútana	kútana	k ú/u t a n a		111	15	1048	k ú/u - t - - a n a
803	MA	cuello	kúta'ana	kúta'ana	k ú/u t a ʔ a n a		111	15	1048	k ú/u - t a ʔ a n a
804	Vb	cuello	kúhta	kúhta	k ú/u h t a		111	15	1048	k ú/u h t - - - - a
805	Va	cuello	kuhtá	kuhtá	k u h t á/a		111	15	1048	k u h t - - - - á/a
806	TA	cuello	kutá.	kutá.	k u t á/a		111	15	1048	k u - t - - - - á/a
807	Proto	cuerno	*'awa	*'awa	ʔ a w a		8	356	1058	ʔ a - - w a -
808	P	cuerno	'á'ag-	'á'ag-	ʔ á/a ʔ a g		8	356	1058	ʔ á/a ʔ a g - -
809	Y	cuerno	'aáwa-	'aáwa-	ʔ a á/a w a		8	356	1058	ʔ a - á/a w a -
810	MA	cuerno	aágwa-	aágwa-	a á/a gʷ a		8	356	1057	a á/a gʷ a
811	Vb	cuerno	ha'awá-	ha'awá-	h a ʔ a w á/a		8	356	1058	h a ʔ a w á/a -
812	Va	cuerno	awá	awá	a w á/a		8	356	1058	- a - - w á/a -
813	TA	cuerno	awá	awá	a w á/a		8	356	1058	- a - - w á/a -
814	TR	cuerno	hamoá-.	hamoá-.	h a m o á/a +		8	356	1058	h a m o - á/a +
815	Proto	cuerpo	*taka	*taka	t a k a		270	198	1066	t a k a -
816	O	cuerpo	takat	takat	t a k a t		270	198	1066	t a k a t
817	En	cuerpo	táka-	táka-	t á/a k a		270	198	1066	t á/a k a -
818	Y	cuerpo	taká.	taká.	t a k á/a		270	198	1066	t a k á/a -
819	MA	cuerpo	taká.	taká.	t a k á/a		270	198	1066	t a k á/a -
820	Proto	cuervo	*kara	*kara	k a r a		73	349	1072	k a r a
821	O	cuervo	kara-ci	kara-ci	k a r a + c i		73	349	1072 1073	k a r a + c i
822	En	cuervo	kará-ci	kará-ci	k a r á/a + c i		73	349	1072 1073	k a r á/a + c i
823	Vb	cuervo	kará-ci	kará-ci	k a r á/a + c i		73	349	1072 1073	k a r á/a + c i
824	Va	cuervo	kalá-ci	kalá-ci	k a l á/a + c i		73	349	1072 1073	k a l á/a + c i
825	TA	cuervo	korá-ci	korá-ci	k o r á/a + c i		73	349	1072 1073	k o r á/a + c i
826	TR	cuervo	kará.	kará.	k a r á/a		73	349	1072	k a r á/a
827	Proto	cueva	*tɨso	*tɨso	t ɨ s o		300	232	1085	t ɨ - - s o
828	TEP	cueva	tího-i	tího-i	t í/i h o + i		300	232	1085 1086	t í/i - - h o + i
829	Y	cueva	teéso	teéso	t e é/e s o		300	232	1085	t e - é/e s o
830	MA	cueva	teéso	teéso	t e é/e s o		300	232	1085	t e - é/e s o
831	Vb	cueva	teesó	teesó	t ee/eː s ó/o		300	232	1085	t ee/eː - - s ó/o
832	Va	cueva	tesó	tesó	t e s ó/o		300	232	1085	t e - - s ó/o
833	TA	cueva	resó	resó	r e s ó/o		300	232	1085	r e - - s ó/o
834	TR	cueva	teweso-lít	teweso-lít	t e w e s o + l í/i t		300	232	1085 1087	t e w e s o + l í/i t
835	Proto	culebra	*sino	*sino	s i n o		243	167	1096	s i - - n - - o
836	O	culebra	sino-t	sino-t	s i n o + t		243	167	1096 1097	s i - - n - - o + t
837	Vb	culebra	si'inoi	si'inoi	s i ʔ i n oi		243	167	1096	s i ʔ i n - - oi
838	Vb	culebra	sí'inowé	sí'inowé	s í/i ʔ i n o w é/e		243	167	1096	s í/i ʔ i n o w é/e
839	T	culebra	sinówi	sinówi	s i n ó/o w i		243	167	1096	s i - - n ó/o w i
840	TR	culebra	hí-sinawe-rát	hí-sinawe-rát	h í/i + s i n a w e + r á/a t		243	167	1098 1096 1099	h í/i + s i - - n a w e + r á/a t
841	Proto	curar	*yowa	*yowa	y/j o w a		362	304	1109	y/j o w a
842	P	curar	doajid	doajid	d o a j/dʒ i d		362	304	1108	d o a j/dʒ i d -
843	PM	curar	doadida	doadida	d o a d i d a		362	304	1108	d o a d i d a
844	Tn	curar	doá-di	doá-di	d o á/a + d i		362	304	1108 1110	d o á/a - - - - + d i
845	Y	curar	hítt-o	hítt-o	h í/i tt/tː + o		362	304	1106 1107	h í/i tt/tː + o -
846	MA	curar	hítt-o	hítt-o	h í/i tt/tː + o		362	304	1106 1107	h í/i tt/tː + o -
847	Vb	curar	hí'i-yowa	hí'i-yowa	h í/i ʔ i + y/j o w a		362	304	1111 1109	h í/i ʔ i + y/j o w a
848	TA	curar	óa	óa	ó/o a		362	304	1107	ó/o a
849	TA	curar	ówa	ówa	ó/o w a		362	304	1109	- ó/o w a
850	TR	curar	hit-oá-t	hit-oá-t	h i t + o á/a + t		362	304	1106 1107 1110	h i t + o á/a + t -
851	Proto	cuñada	*tɨpo	*tɨpo	t ɨ p o		295	225	1123	t ɨ p o
852	O	cuñada	tepo	tepo	t e p o		295	225	1123	t e p o
853	Va	cuñada	tepó	tepó	t e p ó/o		295	225	1123	t e p ó/o
854	TA	cuñada	re'pó.	re'pó.	r e p ó/o		295	225	1123	r e p ó/o
855	Proto	dar	*maka	*maka	m a k a		134	42	1128	m a - k - - a -
856	TEP	dar	máaka-	máaka-	m á/a a k a		134	42	1128	m á/a a k - - a -
857	O	dar	makka-	makka-	m a kk/kː a		134	42	1128	m a - kk/kː - - a -
858	En	dar	máka-	máka-	m á/a k a		134	42	1128	m á/a - k - - a -
859	Y	dar	máka	máka	m á/a k a		134	42	1128	m á/a - k - - a -
860	MA	dar	mákka	mákka	m á/a kk/kː a		134	42	1128	m á/a - kk/kː - - a -
861	TR	dar	makalák	makalák	m a k a l á/a k		134	42	1128	m a - k a l á/a k
862	Proto	darle vuelta	*piri	*piri	p i r i		200	118	1136	p i - r i
863	PI	darle vuelta	vidi-na	vidi-na	v i d i + n a		200	118	1136 1137	v i d - i + n a
864	O	darle vuelta	vir-	vir-	v i r		200	118	1136	v i - r -
865	En	darle vuelta	virí-na	virí-na	v i r í/i + n a		200	118	1136 1137	v i - r í/i + n a
866	MA	darle vuelta	bí'i-tia	bí'i-tia	b í/i ʔ i + t i/j a		200	118	1136 1138	b í/i ʔ - i + t i/j a
867	Va	darle vuelta	pi'rí-	pi'rí-	p i ʔ r í/i		200	118	1136	p i ʔ r í/i
868	TA	darle vuelta	bi'rí.	bi'rí.	b i ʔ r í/i		200	118	1136	b i ʔ r í/i
869	Proto	decir	*'awa	*'awa	ʔ a w a		7	345	1148	ʔ a w a
870	TEP	decir	'á'aga-	'á'aga-	ʔ á/a ʔ a g a		7	345	1147	ʔ á/a ʔ a g a
871	En	decir	ágwa-	ágwa-	á/a gʷ a		7	345	1147	- - - á/a gʷ a
872	TR	decir	-amwá-.	-amwá-.	a mw/mʷ á/a +		7	345	1149	a mw/mʷ á/a +
873	Proto	defecar, estiercol	*kwita	*kwita	kʷ i t a		125	31	1152	kʷ i - t a
874	TEP	defecar, estiercol	bíitai	bíitai	b í/i i t ai		125	31	1152	b í/i i t ai
875	En	defecar, estiercol	bita-	bita-	b i t a		125	31	1152	b i - t a
876	Y	defecar, estiercol	bwita	bwita	bʷ i t a		125	31	1152	bʷ i - t a
877	MA	defecar, estiercol	bwita	bwita	bʷ i t a		125	31	1152	bʷ i - t a
878	Vb	defecar, estiercol	wihtá	wihtá	w i h t á/a		125	31	1152	w i h t á/a
879	Va	defecar, estiercol	wihtá	wihtá	w i h t á/a		125	31	1152	w i h t á/a
880	TA	defecar, estiercol	witá	witá	w i t á/a		125	31	1152	w i - t á/a
881	TR	defecar, estiercol	kwita-t.	kwita-t.	kʷ i t a + t		125	31	1152 1153	kʷ i - t a + t
882	Proto	dejar	*pi-a	*pi-a	p i + a		192bis	108	1163 1164	p - i - + a
883	O	dejar	via	via	v i/j a		192bis	108	1163	v i/j a -
884	En	dejar	viá-	viá-	v i á/a		192bis	108	1163	v - i á/a
885	TR	dejar	wi-pia-	wi-pia-	w i + p i/j a		192bis	108	1165 1163	w i + p i/j a -
886	Proto	derramarse	*yuri	*yuri	y/j u r i		365	307	1170	y/j u - r i
887	O	derramarse	duri	duri	d u r i		365	307	1170	d u - r i
888	En	derramarse	dúri-	dúri-	d ú/u r i		365	307	1170	d ú/u - r i
889	Va	derramarse	yu'ri-	yu'ri-	y/j u ʔ r i		365	307	1170	y/j u ʔ r i
890	TA	derramarse	ru'ru-wí.	ru'ru-wí.	r u ʔ r u + w í/i		365	307	1170 1171	r u ʔ r u + w í/i
891	Proto	desear	*naki	*naki	n a k i		164	75	1177	n a - k i
892	O	desear	naki-	naki-	n a k i		164	75	1177	n a - k i
893	En	desear	náke-	náke-	n á/a k e		164	75	1177	n á/a - k e
894	Y	desear	-nák-	-nák-	n á/a k		164	75	1177	n á/a - k -
895	MA	desear	nákke	nákke	n á/a kk/kː e		164	75	1177	n á/a - kk/kː e
896	Vb	desear	nahkí-	nahkí-	n a h k í/i		164	75	1177	n a h k í/i
897	Va	desear	nahki-	nahki-	n a h k i		164	75	1177	n a h k i
898	TA	desear	nakí.	nakí.	n a k í/i		164	75	1177	n a - k í/i
899	Proto	desgastarse	*yuwi	*yuwi	y/j u w i		366	308	1188	y/j u w i
900	O	desgastarse	du	du	d u		366	308	1186	d u -
901	O	desgastarse	dugw-	dugw-	d u gʷ		366	308	1186	d u gʷ
902	Es	desgastarse	duv-a-	duv-a-	d u v + a		366	308	1186 1187	d u v + a
903	MA	desgastarse	yuú-ya	yuú-ya	y/j u ú/u + y/j a		366	308	1188 1189	y/j u - ú/u + y/j a
904	Va	desgastarse	yui-	yui-	y/j u i		366	308	1188	y/j u - i
905	TA	desgastarse	uwí	uwí	u w í/i		366	308	1188	- u w í/i
906	TA	desgastarse	iwí.	iwí.	i w í/i		366	308	1188	- i w í/i
907	Proto	desgranar	*'ora	*'ora	ʔ o r a		21	128	1197	ʔ o r a -
908	Proto	desgranar	'or-i	'or-i	o r + i		21	128	1197 1198	- o r - - + i
909	O	desgranar	hora-	hora-	h o r a		21	128	1197	h o r a -
910	En	desgranar	hóra-	hóra-	h ó/o r a		21	128	1197	h ó/o r a -
911	Va	desgranar	ola-	ola-	o l a		21	128	1197	- o l a -
912	Va	desgranar	ori-	ori-	o r i		21	128	1197	- o r i -
913	TA	desgranar	orá	orá	o r á/a		21	128	1197	- o r á/a -
914	TA	desgranar	ori-.	ori-.	o r i +		21	128	1197	- o r i +
915	Proto	diente	*tami	*tami	t a m i		272	200	1207	t a - m i
916	TEP	diente	-támu-i	-támu-i	t á/a m u + i		272	200	1207 1208	t á/a - m u + i
917	O	diente	tami-	tami-	t a m i		272	200	1207	t a - m i
918	O	diente	tamu-	tamu-	t a m u		272	200	1207	t a - m u
919	En	diente	támi-	támi-	t á/a m i		272	200	1207	t á/a - m i
920	Y	diente	támi	támi	t á/a m i		272	200	1207	t á/a - m i
921	MA	diente	támmi	támmi	t á/a mm/mː i		272	200	1207	t á/a - mm/mː i
922	Vb	diente	táami	táami	t á/a a m i		272	200	1207	t á/a a m i
923	Va	diente	tamé	tamé	t a m é/e		272	200	1207	t a - m é/e
924	TA	diente	ramé	ramé	r a m é/e		272	200	1207	r a - m é/e
925	TR	diente	tamé-r.	tamé-r.	t a m é/e + r		272	200	1207 1209	t a - m é/e + r
926	Proto	diez	*makoi	*makoi	m a k oi		135	43	1221	m a k oi -
927	O	diez	makoi	makoi	m a k oi		135	43	1221	m a k oi -
928	En	diez	mákoi	mákoi	m á/a k oi		135	43	1221	m á/a k oi -
929	Va	diez	makói.	makói.	m a k ó/o i		135	43	1221	m a k ó/o i
930	TA	diez	makói.	makói.	m a k ó/o i		135	43	1221	m a k ó/o i
931	Proto	dormirse	*koco	*koco	k o c o		91	369	1227	k o - - c - - o -
932	Proto	dormirse	koc-i	koc-i	k o c + i		91	369	1227 1228	k o - - c - - - - + i
933	TEP	dormirse	kóoso	kóoso	k ó/o o s o		91	369	1227	k ó/o - o s - - o -
934	O	dormirse	koci	koci	k o c i		91	369	1227	k o - - c - - i -
935	En	dormirse	kocó-	kocó-	k o c ó/o		91	369	1227	k o - - c - - ó/o -
936	Y	dormirse	kóce	kóce	k ó/o c e		91	369	1227	k ó/o - - c - - e -
937	MA	dormirse	kótce	kótce	k ó/o t c e		91	369	1227	k ó/o t - c - - e -
938	Vb	dormirse	kóci-	kóci-	k ó/o c i		91	369	1227	k ó/o - - c - - i -
939	Va	dormirse	koci-	koci-	k o c i		91	369	1227	k o - - c - - i -
940	TA	dormirse	kocí	kocí	k o c í/i		91	369	1227	k o - - c - - í/i -
941	TR	dormirse	koserák	koserák	k o s e r á/a k		91	369	1227	k o - - s e r á/a k
942	Proto	dos	*wo	*wo	w o		344	282	1241	w o - -
943	TEP	dos	góoka	góoka	g ó/o o k a		344	282	1240	g ó/o - o k a -
944	O	dos	gode	gode	g o d e		344	282	1240	g o - - d e -
945	En	dos	godím	godím	g o d í/i m		344	282	1240	g o - - d í/i m
946	En	dos	gók	gók	g ó/o k		344	282	1240	g ó/o - - k - -
947	Y	dos	wói	wói	w ó/o i		344	282	1241	w ó/o - i
948	MA	dos	gwoóyi	gwoóyi	gʷ o ó/o y/j i		344	282	1240	gʷ o - ó/o y/j i -
949	Vb	dos	gohká	gohká	g o h k á/a		344	282	1240	g o h - k á/a -
950	Va	dos	woká	woká	w o k á/a		344	282	1241	w o k á/a
951	TA	dos	okwá	okwá	o kʷ á/a		344	282	1240	- o - - kʷ á/a -
952	TR	dos	nyór.	nyór.	n y/j ó/o r		344	282	1242	n y/j ó/o r
953	Proto	dulce	*kaka	*kaka	k a k a		71	347	1252	k a - k a -
954	Y	dulce	káka	káka	k á/a k a		71	347	1252	k á/a - k a -
955	MA	dulce	kákka	kákka	k á/a kk/kː a		71	347	1252	k á/a - kk/kː a -
956	Vb	dulce	káhka	káhka	k á/a h k a		71	347	1252	k á/a h k a -
957	Va	dulce	kahká -	kahká_-	k a h k á/a +		71	347	1252	k a h k á/a +
958	TA	dulce	aká.	aká.	a k á/a		71	347	1252	- a - k á/a -
959	Proto	elote	*paci	*paci	p a c i		182	96	1259	- - p a - c i
960	O	elote	vaci	vaci	v a c i		182	96	1259	- - v a - c i
961	Y	elote	báci	báci	b á/a c i		182	96	1259	- - b á/a - c i
962	MA	elote	bátci	bátci	b á/a t c i		182	96	1259	- - b á/a t c i
963	Vb	elote	hí-pasci	hí-pasci	h í/i + p a s c i		182	96	1260 1259	h í/i + - - p a s c i
964	Va	elote	ihpací	ihpací	i h p a c í/i		182	96	1259	i h p a - c í/i
965	TA	elote	pací.	pací.	p a c í/i		182	96	1259	- - p a - c í/i
966	Proto	emborracharse	*naha	*naha	n a h a		161	72	1268	n a h - - - a -
967	Proto	emborracharse	nawa	nawa	n a w a		161	72	1268	n a w - - - a -
968	P	emborracharse	naumk	naumk	n au m k		161	72	1268	n au - - m k - -
969	PI	emborracharse	nahamu	nahamu	n a h a m u		161	72	1268	n a h a m - u -
970	En	emborracharse	náwe-	náwe-	n á/a w e		161	72	1268	n á/a w - - - e -
971	Es	emborracharse	nava-	nava-	n a v a		161	72	1268	n a v - - - a -
972	Y	emborracharse	nawáhe	nawáhe	n a w á/a h e		161	72	1268	n a w á/a - h e -
973	MA	emborracharse	naa-mukúra	naa-mukúra	n a a + m u k ú/u r a		161	72	1268 1269	n a - - - - a - + m u k ú/u r a
974	TR	emborracharse	naham-	naham-	n a h a m		161	72	1268	n a h a m - - -
975	TR	emborracharse	nam-.	nam-.	n a m +		161	72	1268	n a - - m - - +
976	Proto	encino	*toha	*toha	t o h a		307	239	1280	t o h a
977	P	encino	toha	toha	t o h a		307	239	1280	t o h a
978	Tn	encino	tuá-i	tuá-i	t u/w á/a + i		307	239	1280 1281	t - u/w á/a + i
979	Ts	encino	tuwá	tuwá	t u w á/a		307	239	1280	t u w á/a
980	O	encino	toa	toa	t o a		307	239	1280	t o - a
981	En	encino	tohá	tohá	t o h á/a		307	239	1280	t o h á/a
982	Vb	encino	tohé	tohé	t o h é/e		307	239	1280	t o h é/e
983	Va	encino	tohá	tohá	t o h á/a		307	239	1280	t o h á/a
984	TA	encino	rohá	rohá	r o h á/a		307	239	1280	r o h á/a
985	TR	encino	tosí.	tosí.	t o s í/i		307	239	1280	t o s í/i
986	Proto	enemigo, bravo	*'opa	*'opa	ʔ o p a		18	93	1292	ʔ o - p a -
987	TEP	enemigo, bravo	'óobai	'óobai	ʔ ó/o o b ai		18	93	1292	ʔ ó/o o b ai -
988	O	enemigo, bravo	oppa	oppa	o pp/pː a		18	93	1292	- o - pp/pː a -
989	Va	enemigo, bravo	oba-	oba-	o b a		18	93	1292	- o - b a -
990	TA	enemigo, bravo	opa-.	opa-.	o p a +		18	93	1292	- o - p a +
991	Proto	enemigo, enfrentarse	*sayo	*sayo	s a y/j o		236	158	1298	s a - y/j o
992	Proto	enemigo, enfrentarse	sa-i	sa-i	s a + i		236	158	1298 1299	s a - - - + i
993	Tn	enemigo, enfrentarse	sayu	sayu	s a y/j u		236	158	1298	s a - y/j u
994	MA	enemigo, enfrentarse	saayo	saayo	s a a y/j o		236	158	1298	s a a y/j o
995	Va	enemigo, enfrentarse	sahí	sahí	s a h í/i		236	158	1298	s a - h í/i
996	TA	enemigo, enfrentarse	say-é	say-é	s ay/ai + é/e		236	158	1298 1299	s ay/ai - - - + é/e
997	Proto	enfriarse	*sɨpɨ	*sɨpɨ	s ɨ p ɨ		250	175	1307	s ɨ - p - - ɨ
998	Proto	enfriarse	sɨp-i	sɨp-i	s ɨ p + i		250	175	1307 1308	s ɨ - p - - - + i
999	TEP	enfriarse	hɨɨpída-i	hɨɨpída-i	h ɨ ɨ p í/i d a + i		250	175	1307 1308	h ɨ ɨ p í/i d a + i
1000	O	enfriarse	sep-	sep-	s e p		250	175	1307	s e - p - - -
1001	En	enfriarse	sépe-	sépe-	s é/e p e		250	175	1307	s é/e - p - - e
1002	Y	enfriarse	sébe	sébe	s é/e b e		250	175	1307	s é/e - b - - e
1003	MA	enfriarse	sébbe	sébbe	s é/e bb/bː e		250	175	1307	s é/e - bb/bː - - e
1004	TA	enfriarse	sipí	sipí	s i p í/i		250	175	1307	s i - p - - í/i
1005	TA	enfriarse	sepé-	sepé-	s e p é/e		250	175	1307	s e - p - - é/e
1006	TR	enfriarse	sewé	sewé	s e w é/e		250	175	1307	s e - w - - é/e
1007	Proto	entrar	*mu	*mu	m u		151	61	1320	m u - -
